ATL,HHH,6416,120,53.46666666666667
ATL,HNL,3875,156,24.83974358974359
ATL,HOU,15470,547,28.281535648994517
ATL,HPN,10701,303,35.31683168316832
ATL,HSV,10190,348,29.2816091954023
ATL,IAD,21420,688,31.13372093023256
ATL,IAH,22687,754,30.088859416445622
ATL,ICT,14692,488,30.10655737704918
ATL,ILM,9685,300,32.28333333333333
ATL,IND,15362,507,30.299802761341223
ATL,ISP,3982,115,34.62608695652174
ATL,JAC,270,12,22.5
ATL,JAN,14079,420,33.52142857142857
ATL,JAX,16713,718,23.27715877437326
ATL,JFK,9213,316,29.15506329113924
ATL,LAS,22284,847,26.309327036599765
ATL,LAW,1964,47,41.787234042553195
ATL,LAX,24660,1042,23.66602687140115
ATL,LEX,9582,272,35.22794117647059
ATL,LFT,5419,150,36.126666666666665
ATL,LGA,65001,1844,35.25
ATL,LIT,15033,438,34.321917808219176
ATL,LYH,2575,79,32.59493670886076
ATL,MCI,17010,544,31.268382352941178
ATL,MCN,5577,99,56.333333333333336
ATL,MCO,37809,1502,25.172436750998667
ATL,MDT,11450,308,37.175324675324674
ATL,MDW,14177,474,29.90928270042194
ATL,MEI,3454,85,40.63529411764706
ATL,MEM,20384,653,31.21592649310873
ATL,MFE,167,6,27.833333333333332
ATL,MGM,9713,270,35.974074074074075
ATL,MHT,9913,200,49.565
ATL,MIA,25772,1003,25.694915254237287
ATL,MKE,20383,597,34.142378559463985
ATL,MLB,9304,311,29.916398713826368
ATL,MLI,12125,388,31.25
ATL,MLU,4756,136,34.970588235294116
ATL,MOB,8876,348,25.50574712643678
ATL,MSN,2233,76,29.38157894736842
ATL,MSP,20853,669,31.170403587443946
ATL,MSY,16414,673,24.38930163447251
ATL,MTJ,307,12,25.583333333333332
ATL,MYR,11545,200,57.725
ATL,OAJ,6130,175,35.02857142857143
ATL,OAK,975,44,22.15909090909091
ATL,OKC,10265,337,30.45994065281899
ATL,OMA,9871,272,36.29044117647059
ATL,ONT,3672,151,24.31788079470199
ATL,ORD,52613,1220,43.12540983606557
ATL,ORF,11722,377,31.092838196286472
ATL,PBI,14065,609,23.095238095238095
ATL,PDX,3080,163,18.895705521472394
ATL,PFN,14674,342,42.90643274853801
ATL,PHF,19202,531,36.16195856873823
ATL,PHL,34394,975,35.275897435897434
ATL,PHX,21239,854,24.870023419203747
ATL,PIA,5237,131,39.97709923664122
ATL,PIT,17577,619,28.39579967689822
ATL,PNS,17755,635,27.96062992125984
ATL,PVD,8664,288,30.083333333333332
ATL,PWM,6280,175,35.885714285714286
ATL,RDU,16135,634,25.449526813880126
ATL,RIC,15765,565,27.902654867256636
ATL,RNO,1472,42,35.04761904761905
ATL,ROA,7211,198,36.41919191919192
ATL,ROC,12315,395,31.17721518987342
ATL,RSW,16957,675,25.12148148148148
ATL,SAN,10025,436,22.993119266055047
ATL,SAT,14853,401,37.03990024937656
ATL,SAV,11382,441,25.80952380952381
ATL,SBN,5498,179,30.71508379888268
ATL,SCE,2005,51,39.31372549019608
ATL,SDF,12319,415,29.68433734939759
ATL,SEA,6248,316,19.772151898734176
ATL,SFO,13926,505,27.576237623762378
ATL,SGF,6731,159,42.333333333333336
ATL,SHV,9599,275,34.905454545454546
ATL,SJC,2842,105,27.066666666666666
ATL,SJU,6266,270,23.20740740740741
ATL,SLC,11368,538,21.130111524163567
ATL,SMF,3278,121,27.09090909090909
ATL,SNA,3554,163,21.803680981595093
ATL,SRQ,15314,523,29.281070745697896
ATL,STL,16549,574,28.83101045296167
ATL,STT,955,52,18.365384615384617
ATL,STX,179,10,17.9
ATL,SWF,11345,348,32.60057471264368
ATL,SYR,9724,261,37.25670498084291
ATL,TLH,11655,338,34.48224852071006
ATL,TOL,1249,46,27.152173913043477
ATL,TPA,27629,1076,25.6775092936803
ATL,TRI,9185,227,40.4625550660793
ATL,TUL,11819,318,37.166666666666664
ATL,TUP,9,1,9.0
ATL,TUS,3073,118,26.04237288135593
ATL,TYS,10691,325,32.895384615384614
ATL,VLD,5760,165,34.90909090909091
ATL,VPS,16874,474,35.59915611814346
ATL,XNA,9871,260,37.965384615384615
ATW,ATL,5413,154,35.14935064935065
ATW,CVG,4074,91,44.76923076923077
ATW,DSM,185,1,185.0
ATW,DTW,3984,68,58.588235294117645
ATW,MKE,2070,67,30.895522388059703
ATW,MSP,192,8,24.0
ATW,ORD,18133,279,64.99283154121864
AUS,ABQ,2206,67,32.92537313432836
AUS,ATL,10376,278,37.32374100719424
AUS,BNA,2787,144,19.354166666666668
